address	type	length	references	value
1803e0c7b	string	6	0	#Line
1803e0c85	string	32	0	ClientManager_ConnectEventQueue
1803e0ca5	string	11	0	ActivityId
1803e0cb4	string	32	0	ClientManager_ConnectEventQueue
1803e0cd4	string	11	0	ActivityId
1803e0ce0	string	11	0	ClientGuid
1803e0cec	string	10	0	QueueGuid
1803e0cfa	string	37	0	ClientManager_SetStateChangeCallback
1803e0d1f	string	11	0	ActivityId
1803e0d2b	string	6	0	Error
1803e0d32	string	16	0	#ErrorTruncated
1803e0d49	string	6	0	#Line
1803e0d53	string	37	0	ClientManager_SetStateChangeCallback
1803e0d78	string	11	0	ActivityId
1803e0d87	string	37	0	ClientManager_SetStateChangeCallback
1803e0dac	string	11	0	ActivityId
1803e0db8	string	11	0	ClientGuid
1803e0dc4	string	10	0	QueueGuid
1803e0dcf	string	23	0	MemoryThresholdPercent
1803e0de7	string	25	0	RecoveryThresholdPercent
1803e0e01	string	22	2	lib\src\filter\bdd.rs
1803e0e48	string	31	2	crates\wesp-tracing\src\lib.rs
1803e0e84	string	23	2	crates\cm\src\value.rs
1803e0eb8	string	38	1	assertion failed: !NT_SUCCESS(status)
1803e0f18	string	28	0	FileSystemProcessEventsElam
1803e0fb0	string	32	2	lib\src\persistence\registry.rs
1803e1000	string	32	3	lib\src\notification\builder.rs
1803e1038	string	24	2	valid index is supplied
1803e1080	string	28	0	lib\src\filter\comparand.rs
1803e10b8	string	104	0	internal error: entered unreachable code: type invariant guarantees this context key holds binary data
1803e1138	string	104	0	internal error: entered unreachable code: type invariant guarantees this context key holds string data
1803e11f0	string	72	6	subregion should be validregion is validlib\src\event\object_manager.rs
1803e12c8	string	22	10	crates\bdd\src\lib.rs
1803e1338	string	124	0	InvalidEscapeDepthTooLargeMissingClosingBraceMissingDepthNoMemoryScratchTooSmallScratchUnalignedlib\src\event\registry.rs
1803e197a	string	30	0	Microsoft.Windows.WESP.Driver
1803e1998	string	22	1	crates\wnf\src\lib.rs
180406a20	unicode	32	2	ExAllocatePool2
180406a40	unicode	170	1	\Registry\Machine\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management
180406af0	unicode	36	1	VerifyDriverLevel
180406b18	unicode	42	1	FsRtlSetKernelEaFile
180406b48	unicode	50	1	FsRtlKernelFsControlFile
180406b80	unicode	48	1	SeGetCachedSigningLevel
180406bb0	unicode	40	1	IoGetSiloParameters
180406bd8	TerminatedCString	23	1	FltRegisterForDataScan
180406bf0	TerminatedCString	28	1	FltCreateSectionForDataScan
